Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
ABR-L,None,None,14.367800000513128,14.055014610465314,2.1031261595547313,1.29470512282298,1.632086167800454,0.8015873015873017
ABR-L,ANOVA1,None,18.5340057295055,15.681613674140877,2.1484570191713046,1.5481562112155338,2.83881747532031,0.8748792270531397
ABR-L,ANOVA2,None,29.90429891165555,39.51305046519752,2.5879320679320683,2.310326659826956,1.0005668934240364,0.34126984126984145
ABR-L,ANOVA3,None,18.53143682800491,18.79737126516144,2.3005130163953695,1.7129364355969454,2.6681301652892557,1.0909090909090908
ABR-L,CHISQ1,None,14.21956041464205,14.080340285497936,1.8859863945578232,1.2091420890885196,1.508389927419543,0.5297906602254427
ABR-L,CHISQ2,None,31.248163535613998,38.41262533079866,2.425722055722056,2.3033027678263016,0.75852399028761,0.4288499025341126
ABR-L,CHISQ3,None,13.887668135387589,14.908957997091369,1.991706785278214,1.4293919885232897,1.078364197530866,0.7462962962962969
ABR-L,MIT1,None,13.260961382235346,11.801810935349812,2.0042465471036897,1.536592653727716,4.470742932281394,0.9914529914529915
ABR-L,MIT2,None,33.837239229024945,43.48030477973751,2.4395238095238096,2.736958148139893,1.1041460905349807,0.5759259259259264
ABR-L,MIT3,None,19.340449606099057,20.653419337995754,2.0952097505668936,1.6680336523872568,0.9144444444444441,0.6555555555555554
ABR-L,PCR1,None,13.334307702913097,12.676202650079157,1.90921568627451,1.3018533898420954,0.4693480725623589,0.473809523809524
ABR-L,PCR2,None,31.93586137444396,41.804760786724266,2.4391149793250633,2.5959462142135323,0.6402391975308647,0.42129629629629683
ABR-L,PCR3,None,30.656421732688575,42.5685579158104,2.4392967466706965,2.618454387346601,0.570194675284703,0.2792397660818714
ABR-L,RFE1,None,15.288691181962747,12.22746405675394,2.1526066790352503,1.3107108907614529,0.9822222222222218,0.46666666666666656
ABR-L,RFE2,None,20.685036502914365,19.51991030520516,2.33528703789208,1.4269407889024759,2.1139128943758574,0.8635802469135806
ABR-L,RFE3,None,17.84014876464176,16.35851748866808,2.2760596359756025,1.3921145669192776,20.013974622770917,2.8672839506172836
ABR-L,None,DL1,1970.338252892138,1734.527842235939,28.41365094532796,22.14349552754514,742.7901234567901,11.40740740740741
ABR-L,None,DL2,471.25024449365384,594.9810505287132,10.880546583850931,8.60970198221299,742.5443786982249,11.384615384615383
ABR-L,None,DL3,1076.5882016961198,1264.1128756189873,16.763340336134455,15.162442462812665,736.7346938775511,10.761904761904763
ABR-L,None,FA1,53.22980330225803,39.058027703606406,5.161404587476016,1.9655085417095894,26.887490569272973,3.270679012345679
ABR-L,None,FA2,56.3056919013265,33.635800957491114,5.157815382563282,1.698408734128972,37.432910419069586,4.124183006535947
ABR-L,None,FA3,45.38124869677679,26.992188719263666,4.4787466828223135,1.8677621274785137,48.46361111111111,4.988888888888889
